Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
83352,435,25,4.0,98,88,896,12.8,2.9,36.8,5,859,100,83,2,0,2,0,35,27
143002,423,19.9,13.0,0,510,859,53.6,12.6,12.4,5,3850,30,109,6,0,4,1,88,96
239699,377,35.5,19.0,286,203,180,4,0.8,12.3,1,1324,1,210,2,0,3,0,24,32
216866,500,26.6,12.0,88,1046,749,50.5,6.7,20,33,370,18,99,4,0,9,0,51,36
274066,394,28.5,21.0,43,77,792,21.3,4.5,17.6,4,530,102,75,5,0,11,1,87,40
247108,890,44.5,21.0,89,2469,804,60.7,5.4,62.5,15,1052,16,406,4,0,14,1,63,146
217830,361,18.8,10.0,128,458,344,12.8,1.8,34.7,4,545,3,65,2,0,17,0,40,22
207346,281,17.6,2.0,36,3432,601,5.4,4.2,24.9,0,1148,2,111,2,0,11,0,104,16
16639,340,10.2,1.0,0,16,190,56.5,2.3,5.4,3,38,4,63,5,0,4,0,33,150
238723,236,10.5,3.0,17,457,637,19.4,5.8,18.2,7,1088,42,40,1,0,1,0,22,28
212720,676,46.9,21.0,166,1182,1156,33.7,10.7,33,1,3579,27,206,9,0,20,1,102,41
107217,604,47.7,23.0,156,486,694,3.2,1.2,36.9,0,1094,3,99,2,0,17,1,63,19
235350,328,4.8,1.0,0,13,459,62.4,8.3,9.6,2,591,11,52,2,0,2,0,58,56
273307,211,13,6.0,21,372,405,9.1,3.1,14,1,492,5,85,4,0,3,0,39,9
272434,468,40.3,24.0,98,1202,1701,25.5,9.2,9.2,7,22603,81,309,9,0,5,1,218,466
212363,270,8,3.0,8,80,1058,36,17.3,16,3,8864,81,159,7,0,5,1,147,404
165589,332,16.9,2.0,0,315,648,33.5,8.7,16.8,5,604,49,345,4,0,4,1,102,110
160963,253,15.5,10.0,194,263,422,6.8,2.3,22.9,1,459,29,69,5,0,8,0,72,20
273621,427,26.7,17.0,91,439,801,14.7,3.3,34.8,7,990,11,133,5,0,16,1,83,27
94963,445,35.1,21.0,0,657,1291,33.4,8.5,11,5,16007,20,168,7,0,3,0,111,133
231965,346,22.5,6.0,89,714,503,8.2,1.8,27.5,4,2740,19,50,2,0,10,0,36,36
232407,217,6.9,3.0,11,419,488,27.7,2.5,10.8,21,225,38,173,1,0,2,0,34,33
8904,290,18.9,5.0,81,443,279,2.8,0.6,25.9,1,114,2,24,2,0,8,0,26,10
107193,216,9.7,1.0,0,321,343,24.8,8.8,8.8,3,59,1,91,2,0,3,0,41,101
134590,315,26.3,5.0,313,743,311,8,2.3,11.9,3,1925,54,85,3,0,3,0,25,69
237074,731,44.8,12.0,82,1046,545,62.3,8,20.8,3,330,15,65,6,0,10,0,52,119
210530,809,73.9,14.0,90,635,915,22.8,4.2,18.2,9,1406,89,73,5,0,9,0,60,40
212418,212,7.5,1.0,0,14,650,33.8,3.4,4.7,4,865,103,48,2,0,3,0,53,38
223161,485,33.9,21.0,59,159,804,22.2,5.3,26.8,4,5802,21,72,4,0,13,1,67,48
212672,123,5,1.0,0,10,389,16.1,4.5,5,2,270,14,52,1,0,2,0,37,53
